brand,model,vehicle_type,plate_country,plate_number,vin,creation_date,manufactured_country
Chevrolet,Tracker,Coupe,CZ,915-NZU,3GTU1YEJ3BG858513,2007-08-21,CZ
Dodge,Caravan,Hatchback,IT,163-VHM,WAUKH98E76A550365,2000-11-30,CZ
Volvo,C30,SUV,DE,651-JYI,JTDJTUD3XED130620,2007-01-20,DE
Toyota,Avalon,Hatchback,KR,882-JKB,JN8CS1MWXFM949671,2004-07-01,IT
Ford,Mustang,Hatchback,JP,303-PRW,JTJBC1BA3D2459588,2006-01-01,IT
BMW,5 Series,MPV,CZ,965-ZMP,1C3CDFCB2ED968154,2004-09-13,KR
Mazda,B-Series Plus,SUV,DE,286-COZ,JTEBU4BF7CK679890,2013-11-27,IT
Dodge,Caliber,Convertible,JP,511-UOX,YV140MAB0F1346443,2018-02-04,IT
GMC,Savana 1500,SUV,KR,671-COD,5J8TB18597A449339,2001-01-08,CZ
Geo,Prizm,Convertible,IT,417-OUP,WBXPA93436W776033,2004-08-11,DE
Chevrolet,Corvette,MPV,US,903-AYR,19UUA8F2XBA360493,2008-06-25,JP
Chrysler,Cirrus,Coupe,DE,113-WLQ,2HNYB1H46CH398433,2000-05-26,JP
Fiat,Nuova 500,Convertible,KR,230-AFN,2G4GS5GX3E9747464,2005-08-02,DE
Kia,Soul,Sedan,KR,346-CDP,4T1BD1FK7EU259561,2003-07-04,IT
Jeep,Grand Cherokee,Sedan,CZ,552-NKQ,1N6AF0LX9FN849502,2013-03-23,KR
Hummer,H2,Convertible,CZ,073-SBR,5UXZW0C56C0968846,2020-01-27,DE
Nissan,Sentra,Sedan,JP,020-OBR,WAUSF78E66A205001,2007-08-20,CZ
Ford,Econoline E350,Sedan,JP,041-EUM,1FMJK1J55AE749422,2002-12-11,CZ
GMC,Savana 2500,SUV,KR,018-ZNK,1D4PU4GKXAW972966,2015-05-24,DE
Lotus,Exige,Sedan,KR,765-AZL,1FTMF1EW3AF590340,2013-12-11,JP
Hyundai,Sonata,Convertible,JP,294-RYA,JTHBC1KS4B5424953,2000-06-03,DE
Oldsmobile,Bravada,MPV,IT,441-WKR,YV1672MS8B2632419,2002-04-24,CZ
Honda,S2000,Hatchback,IT,103-IZC,JN1CV6FE3FM605459,2000-06-01,DE
Suzuki,Samurai,Coupe,US,506-PCH,3C6TD5ET3CG558417,2005-05-12,JP
Kia,Sedona,Hatchback,JP,937-LBN,1GD01ZCG2DF396442,2018-05-18,KR
Toyota,Prius,Crossover,US,022-TXD,KNDJT2A28D7725785,2020-01-26,DE
Hyundai,Sonata,Crossover,KR,376-FQT,3GYFNDEY5AS461877,2009-08-23,DE
Audi,S8,MPV,US,939-QCM,2G4WD532751093227,2012-10-31,DE
Ford,Courier,Convertible,CZ,582-PWO,5FRYD3H42GB577641,2001-02-19,KR
Subaru,Impreza WRX,MPV,JP,997-UVF,WAUSFBFL0AA280192,2009-08-03,JP
Nissan,Quest,Sedan,DE,040-YXJ,JTHBP5C29A5718289,2004-03-01,IT
Toyota,Camry Hybrid,MPV,DE,655-QPI,5FPYK1F6XEB819855,2019-09-17,CZ
Nissan,Versa,Convertible,IT,441-JZA,3C3CFFHH5FT534328,2006-12-08,DE
Buick,Park Avenue,Hatchback,US,038-RXS,2C3CDXCT0CH603244,2005-08-19,DE
Volvo,XC70,Crossover,US,689-DOA,WAUVT68E62A252510,2007-11-02,IT
Mercedes-Benz,SLS-Class,Crossover,IT,709-DVR,WAUED54B41N121716,2000-04-19,CZ
MINI,Cooper,Sedan,US,769-WTH,3C4PDCGB5FT258263,2003-08-05,US
Mazda,B-Series,Crossover,CZ,903-EPT,5J8TB4H51GL792698,2008-05-06,KR
BMW,5 Series,Coupe,KR,101-QFP,5UXKU2C53F0960890,2001-02-24,IT
Volkswagen,GLI,MPV,US,252-OZU,1N6AA0EC4DN152101,2004-10-06,KR
Mercedes-Benz,500SL,Convertible,US,044-JGB,5GADV23167D740563,2012-10-28,US
Ford,Explorer,Crossover,CZ,069-CJF,1GD02XEG5FZ169276,2018-12-16,JP
Mazda,Miata MX-5,Crossover,US,077-VBD,2C4RDGCG7CR633960,2010-05-31,IT
Mitsubishi,Pajero,Crossover,IT,793-BRT,JN8AZ2KR0AT564236,2008-01-16,JP
Pontiac,Torrent,Hatchback,JP,568-CGL,WP0AB2A86FK638653,2007-10-06,US
Mercury,Milan,Convertible,IT,382-VID,1GYFC13279R134544,2016-10-11,JP
Dodge,Shadow,Convertible,CZ,620-KFT,2G61S5S3XE9325449,2015-02-19,JP
Dodge,Grand Caravan,Coupe,DE,169-EOP,3VWKZ7AJ7BM347224,2000-07-29,CZ
Dodge,Dakota,Coupe,KR,524-FKW,WBADN53421G152110,2007-08-18,IT
Chevrolet,2500,Coupe,DE,134-AWT,SCFBF03B88G406889,2003-05-30,IT
